Variable: state                Importance: 0.08
Variable: tcprtt               Importance: 0.05
Variable: ct_state_ttl         Importance: 0.05
Variable: ct_dst_ltm           Importance: 0.05
Variable: ct_ftp_cmd           Importance: 0.05
Variable: rate                 Importance: 0.04
Variable: dur                  Importance: 0.03
Variable: spkts                Importance: 0.03
Variable: dpkts                Importance: 0.03
Variable: sbytes               Importance: 0.03
Variable: sttl                 Importance: 0.03
Variable: synack               Importance: 0.03
Variable: dmean                Importance: 0.03
Variable: ct_srv_src           Importance: 0.03
Variable: service              Importance: 0.02
Variable: dbytes               Importance: 0.02
Variable: dload                Importance: 0.02
Variable: sloss                Importance: 0.02
Variable: dloss                Importance: 0.02
Variable: stcpb                Importance: 0.02
Variable: dtcpb                Importance: 0.02
Variable: trans_depth          Importance: 0.02
Variable: proto                Importance: 0.01
Variable: dttl                 Importance: 0.01
Variable: sload                Importance: 0.01
Variable: sinpkt               Importance: 0.01
Variable: dinpkt               Importance: 0.01
Variable: sjit                 Importance: 0.01
Variable: djit                 Importance: 0.01
Variable: dwin                 Importance: 0.01
Variable: response_body_len    Importance: 0.01
Variable: is_ftp_login         Importance: 0.01
Variable: swin                 Importance: 0.0
Variable: ackdat               Importance: 0.0
Variable: smean                Importance: 0.0
Variable: ct_src_dport_ltm     Importance: 0.0
Variable: ct_dst_sport_ltm     Importance: 0.0
Variable: ct_dst_src_ltm       Importance: 0.0
Variable: ct_flw_http_mthd     Importance: 0.0
Variable: ct_src_ltm           Importance: 0.0
Variable: ct_srv_dst           Importance: 0.0
Variable: is_sm_ips_ports      Importance: 0.0
